,genes
1072,SLC25A5-AS1
1073,SLC29A4
1074,SLC30A1
1075,SLC30A8
1076,SLC35E1
1077,SLC35F2
1078,SLC35F4
1079,SLC38A1
1080,SLC39A1
1081,SLC40A1
1082,SLC43A1
1083,SLC6A3
1084,SLC6A8
1085,SLC7A5P1
1086,SLC8A3
1087,SLC9A7
1088,SLCO1C1
1089,SLITRK1
1090,SMAD7
1091,SMARCA5
1092,SMARCA5-AS1
1093,SMARCAL1
1094,SMC1A
1095,SMDT1
1096,SMEK2
1097,SMIM17
1098,SMIM2-AS1
1099,SMIM2-IT1
1100,SMUG1
1101,SNAR-F
1102,SNHG21
1103,SNHG8
1104,SNORA19
1105,SNORA20
1106,SNORA40
1107,SNORA47
1108,SNORA69
1109,SNORA71E
1110,SNORA72
1111,SNORD116-1
1112,SNORD116-27
1113,SNORD12
1114,SNORD124
1115,SNORD22
1116,SNORD26
1117,SNORD32A
1118,SNORD49B
1119,SNORD70
1120,SNORD71
1121,SNORD72
1122,SNORD88A
1123,SNORD96A
1124,SNRNP25
1125,SNRPB
1126,SNX1
1127,SOCS1
1128,SOD2
1129,SOSTDC1
1130,SPAST
1131,SPIN2A
1132,SPINK2
1133,SPIRE2
1134,SPSB4
1135,SPTSSA
1136,SPTSSB
1137,SQLE
1138,SRP68
1139,SRPK1
1140,SSC5D
1141,ST3GAL4
1142,ST6GAL2
1143,ST7-AS1
1144,STAG2
1145,STAG3L1
1146,STAG3L4
1147,STARD4
1148,STARD6
1149,STEAP1B
1150,STKLD1
1151,STON1-GTF2A1L
1152,STON2
1153,STOX2
1154,STRN
1155,STX2
1156,SUSD2
1157,SUSD3
1158,SUV39H1
1159,SYNGR4
1160,SYNRG
1161,TAC3
1162,TADA1
1163,TADA2A
1164,TAF13
1165,TAF3
1166,TAF5
1167,TAF5L
1168,TAGLN2
1169,TALDO1
1170,TAS2R13
1171,TAS2R39
1172,TAS2R46
1173,TBCEL
1174,TBX19
1175,TBX20
1176,TCEA3
1177,TCF4
1178,TCTEX1D1
1179,TDO2
1180,TDRD5
1181,TDRD9
1182,TEK
1183,TEX43
1184,TFE3
1185,TFEB
1186,THY1
1187,TIGIT
1188,TIMMDC1
1189,TIRAP
1190,TM9SF1
1191,TMCO1
1192,TMED10
1193,TMEM106B
1194,TMEM129
1195,TMEM132E
1196,TMEM14B
1197,TMEM170B
1198,TMEM182
1199,TMEM184C
1200,TMEM200C
1201,TMEM260
1202,TMEM263
1203,TMEM53
1204,TMIGD1
1205,TMPRSS5
1206,TMTC1
1207,TNFRSF12A
1208,TNFRSF13B
1209,TNFRSF8
1210,TNKS2-AS1
1211,TNNI2
1212,TOMM22
1213,TOR1AIP1
1214,TPD52
1215,TPD52L2
1216,TPI1
1217,TPRG1-AS1
1218,TPRXL
1219,TPTE2P1
1220,TPTEP1
1221,TRAPPC1
1222,TRAPPC6A
1223,TREX2
1224,TRG-AS1
1225,TRIM22
1226,TRIM39
1227,TRIM41
1228,TRIM42
1229,TRIM52
1230,TRIM54
1231,TRIM68
1232,TRMT61B
1233,TROAP
1234,TRPC5
1235,TRPC7
1236,TRPV2
1237,TRPV5
1238,TSPAN13
1239,TSPAN15
1240,TSPAN9
1241,TSPY2
1242,TTC32
1243,TTC39B
1244,TTC39C
1245,TTI2
1246,TTK
1247,TTLL4
1248,TTYH3
1249,TUBA3E
1250,TUBG1
1251,TUSC1
1252,TXNDC8
1253,TXNL4B
1254,UBE2D2
1255,UBE2L3
