,genes
1119,SNHG21
1120,SNORA19
1121,SNORA20
1122,SNORA40
1123,SNORA47
1124,SNORA69
1125,SNORA71E
1126,SNORA72
1127,SNORD116-1
1128,SNORD116-27
1129,SNORD12
1130,SNORD22
1131,SNORD26
1132,SNORD32A
1133,SNORD49B
1134,SNORD70
1135,SNORD71
1136,SNORD72
1137,SNORD88A
1138,SNRNP25
1139,SNRPB
1140,SNX1
1141,SOCS1
1142,SOD2
1143,SOSTDC1
1144,SPIN2A
1145,SPINK2
1146,SPIRE2
1147,SPSB4
1148,SPTSSA
1149,SPTSSB
1150,SREK1IP1
1151,SRPK1
1152,SSC5D
1153,ST3GAL4
1154,ST6GAL2
1155,ST7-AS1
1156,STAG2
1157,STAG3L1
1158,STAG3L4
1159,STARD4
1160,STARD6
1161,STEAP1B
1162,STK17A
1163,STKLD1
1164,STON1-GTF2A1L
1165,STON2
1166,STOX2
1167,STRN
1168,STX2
1169,SUSD3
1170,SUV39H1
1171,SYNGR4
1172,SYNRG
1173,TAC3
1174,TADA1
1175,TADA2A
1176,TAF13
1177,TAF3
1178,TAF5
1179,TAF5L
1180,TAF9
1181,TAGLN2
1182,TALDO1
1183,TAS2R13
1184,TAS2R46
1185,TBCEL
1186,TBX19
1187,TBX20
1188,TCEA3
1189,TCF4
1190,TCTEX1D1
1191,TDO2
1192,TDRD5
1193,TDRD9
1194,TEK
1195,TEX43
1196,TFE3
1197,TFEB
1198,THY1
1199,TIGIT
1200,TIMMDC1
1201,TIRAP
1202,TM9SF1
1203,TMCO1
1204,TMED10
1205,TMEM129
1206,TMEM132E
1207,TMEM14B
1208,TMEM170B
1209,TMEM182
1210,TMEM184C
1211,TMEM200C
1212,TMEM260
1213,TMEM263
1214,TMEM53
1215,TMIGD1
1216,TMPRSS5
1217,TMTC1
1218,TNFRSF12A
1219,TNFRSF13B
1220,TNFRSF8
1221,TNKS2-AS1
1222,TNNI2
1223,TOMM22
1224,TOR1AIP1
1225,TPD52
1226,TPD52L2
1227,TPI1
1228,TPRXL
1229,TPTE2P1
1230,TPTEP1
1231,TRAPPC1
1232,TRAPPC6A
1233,TREX2
1234,TRG-AS1
1235,TRIM22
1236,TRIM39
1237,TRIM41
1238,TRIM42
1239,TRIM52
1240,TRIM54
1241,TRIM68
1242,TRMT61B
1243,TROAP
1244,TRPC5
1245,TRPC7
1246,TRPV2
1247,TRPV5
1248,TSPAN13
1249,TSPAN15
1250,TSPAN2
1251,TSPAN9
1252,TSPY2
1253,TTC32
1254,TTC39B
1255,TTC39C
1256,TTI2
1257,TTK
1258,TTLL4
1259,TTYH3
1260,TUBA3E
1261,TUBG1
1262,TUSC1
1263,TXNDC8
1264,TXNL4B
1265,UBE2D2
1266,UBE2L3
